BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Dennis Lillee,10,0,66,1,6.60,-,-,-,0,0
Jeff Thomson,6,1,21,0,3.50,-,-,-,0,0
Max Walker,12,2,41,1,3.42,-,-,-,0,0
Greg Chappell,4,0,13,0,3.25,-,-,-,0,0
Ashley Mallett,11,2,35,1,3.18,-,-,-,0,0
Ian Chappell,3,1,9,0,3.00,-,-,-,0,0
