BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Jerome Taylor,8,0,33,2,4.13,30,4,0,1,0
Jason Holder,7,0,29,0,4.14,27,4,0,1,0
Kemar Roach,8,1,44,1,5.50,30,3,0,5,2
Andre Russell,8,0,43,2,5.38,27,2,1,5,1
Dwayne Smith,5,0,22,1,4.40,17,2,0,3,0
Marlon Samuels,3.1,0,10,0,3.16,12,1,0,0,0
