BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Heath Streak,10,0,63,2,6.30,26,4,1,5,1
Pommie Mbangwa,8,0,28,0,3.50,32,2,0,3,0
Guy Whittall,8,1,39,1,4.88,32,3,1,3,0
Henry Olonga,5,0,38,2,7.60,15,3,0,5,1
Adam Huckle,10,0,43,1,4.30,35,4,0,1,0
Grant Flower,2,0,13,0,6.50,5,1,0,2,0
Paul Strang,7,0,38,1,5.43,16,0,1,1,0
