BATSMEN,,R,B,M,4s,6s,SR
Ishwar Maraj,b Odoyo,5,17,22,1,0,29.41
John Davison,c Obuya b Ongondo,31,32,47,2,2,96.88
Desmond Chumney,c Shah b Obuya,10,20,29,2,0,50.00
Ian Billcliff,b AO Suji,71,100,115,8,2,71.00
Joe Harris,c AO Suji b Obuya,31,74,97,2,1,41.89
Fazil Sattaur,b Odumbe,7,10,21,0,0,70.00
Nicholas de Groot,lbw b Odumbe,0,4,4,0,0,0.00
Ashish Bagai,c Obuya b Odoyo,12,15,20,1,0,80.00
Sanjayan Thuraisingam,c Obuya b Odoyo,13,10,13,1,1,130.00
Austin Codrington,b Odoyo,5,7,13,0,0,71.43
Davis Joseph,not out,4,6,11,0,0,66.67
