BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Champaka Ramanayake,9.2,0,46,0,4.93,-,-,-,2,2
Pramodya Wickramasinghe,8,1,40,1,5.00,-,-,-,1,0
Don Anurasiri,10,1,27,0,2.70,-,-,-,0,0
Ruwan Kalpage,10,0,33,2,3.30,-,-,-,0,0
Asanka Gurusinha,4,0,19,1,4.75,-,-,-,0,0
Arjuna Ranatunga,4,0,22,0,5.50,-,-,-,0,0
Sanath Jayasuriya,2,0,14,0,7.00,-,-,-,0,0
Aravinda de Silva,1,0,6,0,6.00,-,-,-,1,0
