BATSMEN,,R,B,M,4s,6s,SR
Kyle Coetzer,c Woakes b Ali,71,84,110,11,0,84.52
Calum MacLeod,c Buttler b Anderson,4,6,11,1,0,66.67
Freddie Coleman,c Morgan b Woakes,7,16,30,0,0,43.75
Matt Machan,c Buttler b Finn,5,7,7,1,0,71.43
Preston Mommsen,c Broad b Root,26,42,52,3,0,61.90
Richie Berrington,c Morgan b Ali,8,13,12,0,0,61.54
Matthew Cross,c Root b Finn,23,32,40,1,0,71.88
Josh Davey,c Buttler b Finn,9,15,17,0,0,60.00
Majid Haq,c Ballance b Woakes,15,24,42,3,0,62.50
Alasdair Evans,c Buttler b Anderson,9,15,15,2,0,60.00
Iain Wardlaw,not out,0,0,2,0,0,0.00
