BATSMEN,,R,B,M,4s,6s,SR
Frasat Ali,b Abid Ali,12,36,38,1,0,33.33
Samuel Walusimbi,lbw b Abid Ali,16,50,65,1,0,32.00
Praful Mehta,run out,12,41,71,0,0,29.27
Yunus Badat,b Bedi,1,4,13,0,0,25.00
Jawahir Shah,b Amarnath,37,84,60,5,0,44.05
Harilal Shah,c Engineer b Amarnath,0,2,1,0,0,0.00
Ramesh Sethi,c Gaekwad b Madan Lal,23,80,45,2,0,28.75
Mehmood Quaraishy,run out,6,25,19,0,0,24.00
Zulfiqar Ali,not out,2,5,8,0,0,40.00
Parbhu Nana,lbw b Madan Lal,0,2,1,0,0,0.00
Don Pringle,b Madan Lal,2,3,4,0,0,66.67
