BATSMEN,,R,B,M,4s,6s,SR
Taufeeq Umar,run out (Esmeijer),48,71,87,6,0,67.61
Saeed Anwar,c Esmeijer b de Leede,25,37,49,3,0,67.57
Abdul Razzaq,c Smits b van Bunge,47,63,71,4,0,74.60
Inzamam-ul-Haq,lbw b de Leede,0,2,5,0,0,0.00
Mohammad Yousuf,b Lefebvre,58,59,94,4,0,98.31
Saleem Elahi,c Zuiderent b van Bunge,5,7,9,0,0,71.43
Rashid Latif,c van Bunge b Schiferli,24,25,28,2,0,96.00
Wasim Akram,run out (Lefebvre/Schiferli),1,4,8,0,0,25.00
Shoaib Akhtar,not out,26,27,31,0,1,96.30
Waqar Younis,c & b Mol,1,2,6,0,0,50.00
Saqlain Mushtaq,not out,3,3,5,0,0,100.00
