BATSMEN,,R,B,M,4s,6s,SR
Nick Statham,b Wasim Akram,0,9,8,0,0,0.00
Edgar Schiferli,c Abdul Razzaq b Shoaib Akhtar,9,24,42,1,0,37.50
Bas Zuiderent,lbw b Waqar Younis,8,17,38,1,0,47.06
Klaas-Jan van Noortwijk,c Rashid Latif b Wasim Akram,7,7,14,1,0,100.00
Tim de Leede,c Shoaib Akhtar b Saqlain Mushtaq,15,35,60,0,1,42.86
Daan van Bunge,c Rashid Latif b Abdul Razzaq,31,60,75,3,1,51.67
Luuk van Troost,c Rashid Latif b Shoaib Akhtar,22,30,60,3,0,73.33
Henk-Jan Mol,b Shoaib Akhtar,13,24,28,1,0,54.17
Jacob-Jan Esmeijer,lbw b Saeed Anwar,0,2,3,0,0,0.00
Roland Lefebvre,not out,4,14,25,0,0,28.57
Jeroen Smits,lbw b Wasim Akram,7,21,21,1,0,33.33
