BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Eddo Brandes,7,0,43,1,6.14,-,-,-,0,0
Kevin Duers,7,0,48,0,6.86,-,-,-,0,0
Mark Burmester,6,0,36,3,6.00,-,-,-,3,0
Ali Shah,6,1,38,0,6.33,-,-,-,0,0
John Traicos,6,0,35,3,5.83,-,-,-,0,0
