BATSMEN,,R,B,M,4s,6s,SR
Saeed Anwar,c LJ Burger b BL Kotze,23,35,49,3,0,65.71
Saleem Elahi,c DB Kotze b AJ Burger,63,100,138,5,0,63.00
Younis Khan,c van Schoor b LJ Burger,28,39,48,2,0,71.79
Inzamam-ul-Haq,b DB Kotze,4,15,17,0,0,26.67
Mohammad Yousuf,c LJ Burger b BL Kotze,43,55,55,3,0,78.18
Rashid Latif,b Snyman,36,30,41,4,0,120.00
Wasim Akram,not out,20,14,32,3,0,142.86
Abdul Razzaq,c van Schoor b Snyman,4,2,2,1,0,200.00
Waqar Younis,run out (Snyman),8,7,10,1,0,114.29
Saqlain Mushtaq,run out (BL Kotze/van Schoor),1,1,1,0,0,100.00
Shoaib Akhtar,not out,3,3,5,0,0,100.00
