BATSMEN,,R,B,M,4s,6s,SR
Riaan Walters,c Rashid Latif b Wasim Akram,0,4,3,0,0,0.00
Stefan Swanepoel,c Inzamam-ul-Haq b Shoaib Akhtar,1,2,7,0,0,50.00
Jan-Berrie Burger,c Younis Khan b Shoaib Akhtar,14,18,39,1,0,77.78
Danie Keulder,b Shoaib Akhtar,0,2,2,0,0,0.00
Gavin Murgatroyd,lbw b Wasim Akram,4,4,8,1,0,100.00
Louis Burger,lbw b Wasim Akram,0,1,1,0,0,0.00
Deon Kotze,lbw b Wasim Akram,8,25,41,0,0,32.00
Gerrie Snyman,lbw b Shoaib Akhtar,0,1,1,0,0,0.00
Melt van Schoor,lbw b Wasim Akram,2,4,4,0,0,50.00
Bjorn Kotze,not out,24,29,50,3,0,82.76
Rudi van Vuuren,c Waqar Younis b Saqlain Mushtaq,14,19,37,2,0,73.68
