BATSMEN,,R,B,M,4s,6s,SR
Shane Watson,b Umar Gul,9,16,24,1,0,56.25
Brad Haddin,c Kamran Akmal b Wahab Riaz,42,80,102,3,1,52.50
Ricky Ponting,c Kamran Akmal b Mohammad Hafeez,19,33,57,2,0,57.58
Michael Clarke,b Abdul Razzaq,34,48,59,2,0,70.83
Cameron White,run out (Misbah-ul-Haq/Kamran Akmal),8,18,22,0,0,44.44
Michael Hussey,c Misbah-ul-Haq b Abdur Rehman,12,22,29,0,0,54.55
Steven Smith,b Shahid Afridi,25,32,46,1,0,78.13
Mitchell Johnson,c Kamran Akmal b Abdul Razzaq,0,3,4,0,0,0.00
Jason Krejza,b Umar Gul,7,19,22,0,0,36.84
Brett Lee,c Misbah-ul-Haq b Umar Gul,5,8,11,1,0,62.50
Shaun Tait,not out,0,1,5,0,0,0.00
