BATSMEN,,R,B,M,4s,6s,SR
Moeen Ali,run out (Soumya Sarkar/Mushfiqur Rahim),19,21,35,3,0,90.48
Ian Bell,c Mushfiqur Rahim b Rubel Hossain,63,82,113,7,0,76.83
Alex Hales,c Mushfiqur Rahim b Mashrafe Mortaza,27,34,46,4,0,79.41
Joe Root,c Mushfiqur Rahim b Mashrafe Mortaza,29,47,79,2,0,61.70
Eoin Morgan,c Shakib Al Hasan b Rubel Hossain,0,3,3,0,0,0.00
James Taylor,c Imrul Kayes b Taskin Ahmed,1,4,16,0,0,25.00
Jos Buttler,c Mushfiqur Rahim b Taskin Ahmed,65,52,75,6,1,125.00
Chris Woakes,not out,42,40,59,3,0,105.00
Chris Jordan,run out (Shakib Al Hasan),0,1,4,0,0,0.00
Stuart Broad,b Rubel Hossain,9,6,10,0,1,150.00
James Anderson,b Rubel Hossain,0,2,1,0,0,0.00
