BATSMEN,,R,B,M,4s,6s,SR
Matt Horne,c Moin Khan b Shoaib Akhtar,1,20,22,0,0,5.00
Nathan Astle,c Moin Khan b Shoaib Akhtar,0,6,7,0,0,0.00
Craig McMillan,c Saleem Malik b Wasim Akram,20,25,38,3,0,80.00
Stephen Fleming,c Wasim Akram b Azhar Mahmood,69,100,143,4,0,69.00
Roger Twose,c Inzamam-ul-Haq b Saqlain Mushtaq,13,25,34,0,1,52.00
Chris Cairns,lbw b Azhar Mahmood,0,4,3,0,0,0.00
Adam Parore,lbw b Azhar Mahmood,0,1,1,0,0,0.00
Chris Harris,c Abdul Razzaq b Saqlain Mushtaq,42,96,111,0,0,43.75
Dion Nash,not out,21,32,41,0,0,65.63
Gavin Larsen,not out,3,4,3,0,0,75.00
