BATSMEN,,R,B,M,4s,6s,SR
Sourav Ganguly,c Abdur Razzak b Mohammad Rafique,66,129,178,4,0,51.16
Virender Sehwag,b Mashrafe Mortaza,2,6,12,0,0,33.33
Robin Uthappa,c Aftab Ahmed b Mashrafe Mortaza,9,17,22,1,0,52.94
Sachin Tendulkar,c Mushfiqur Rahim b Abdur Razzak,7,26,40,1,0,26.92
Rahul Dravid,lbw b Mohammad Rafique,14,28,31,0,0,50.00
Yuvraj Singh,c Habibul Bashar b Abdur Razzak,47,58,60,3,1,81.03
MS Dhoni,c Aftab Ahmed b Mohammad Rafique,0,3,5,0,0,0.00
Harbhajan Singh,b Abdur Razzak,0,3,4,0,0,0.00
Ajit Agarkar,c Mushfiqur Rahim b Mashrafe Mortaza,0,2,7,0,0,0.00
Zaheer Khan,not out,15,17,22,2,0,88.24
Munaf Patel,c Abdur Razzak b Mashrafe Mortaza,15,15,17,2,0,100.00
