BATSMEN,,R,B,M,4s,6s,SR
Nolan Clarke,c Mehra b Shehzad Altaf,0,11,12,0,0,0.00
Peter Cantrell,c Imtiaz Abbasi b Azhar Saeed,47,106,160,1,0,44.34
Flavian Aponso,c & b Dukanwala,45,80,89,6,0,56.25
Tim de Leede,c & b Azhar Saeed,36,47,55,3,0,76.60
Klaas-Jan van Noortwijk,c Zarawani b Dukanwala,26,19,29,3,0,136.84
Steven Lubbers,c Saeed-al-Saffar b Zarawani,8,8,10,1,0,100.00
Roland Lefebvre,c Mohammad Ishaq b Dukanwala,12,8,17,0,1,150.00
Bas Zuiderent,st Imtiaz Abbasi b Dukanwala,3,5,10,0,0,60.00
Marcel Schewe,b Dukanwala,6,6,11,0,0,100.00
Robert van Oosterom,not out,2,4,10,0,0,50.00
Paul-Jan Bakker,not out,1,4,8,0,0,25.00
