BATSMEN,,R,B,M,4s,6s,SR
Javed Ahmadi,c & b Mashrafe Mortaza,1,2,4,0,0,50.00
Afsar Zazai,lbw b Rubel Hossain,1,5,7,0,0,20.00
Nawroz Mangal,c Rubel Hossain b Mahmudullah,27,57,88,1,0,47.37
Asghar Afghan,c Mahmudullah b Mashrafe Mortaza,1,7,9,0,0,14.29
Samiullah Shinwari,run out (Sabbir Rahman/Mushfiqur Rahim),42,75,92,2,0,56.00
Mohammad Nabi,c Soumya Sarkar b Mashrafe Mortaza,44,43,65,5,0,102.33
Najibullah Zadran,lbw b Shakib Al Hasan,17,34,49,1,0,50.00
Mirwais Ashraf,c Sabbir Rahman b Shakib Al Hasan,10,15,17,0,1,66.67
Aftab Alam,run out (Soumya Sarkar/Mushfiqur Rahim),14,12,27,2,1,116.67
Hamid Hassan,c Anamul Haque b Taskin Ahmed,0,5,5,0,0,0.00
Shapoor Zadran,not out,2,2,7,0,0,100.00
