BATSMEN,,R,B,M,4s,6s,SR
Anamul Haque,lbw b Mirwais Ashraf,29,55,66,4,0,52.73
Tamim Iqbal,c Afsar Zazai b Mirwais Ashraf,19,42,58,2,0,45.24
Soumya Sarkar,lbw b Shapoor Zadran,28,25,51,3,1,112.00
Mahmudullah,c Afsar Zazai b Shapoor Zadran,23,46,55,0,0,50.00
Shakib Al Hasan,b Hamid Hassan,63,51,86,6,1,123.53
Mushfiqur Rahim,c Samiullah Shinwari b Mohammad Nabi,71,56,83,6,1,126.79
Sabbir Rahman,b Hamid Hassan,3,8,7,0,0,37.50
Mashrafe Mortaza,b Aftab Alam,14,9,12,3,0,155.56
Mominul Haque,run out (Afsar Zazai),3,3,6,0,0,100.00
Rubel Hossain,not out,0,2,6,0,0,0.00
Taskin Ahmed,b Aftab Alam,1,3,5,0,0,33.33
