BATSMEN,,R,B,M,4s,6s,SR
Geoff Barnett,c Mishra b Ongondo,41,50,65,9,0,82.00
Abdool Samad,c Tikolo b Odoyo,15,29,46,3,0,51.72
Ashish Bagai,st Ouma b Varaiya,19,48,60,2,0,39.58
Ian Billcliff,c & b Tikolo,34,63,85,2,0,53.97
John Davison,b Kamande,8,19,12,1,0,42.11
Qaiser Ali,b Kamande,6,16,10,1,0,37.50
Ashif Mulla,c Ongondo b Tikolo,25,39,45,0,1,64.10
Sunil Dhaniram,not out,34,35,40,3,1,97.14
Umar Bhatti,run out (Mishra/Ouma),1,2,4,0,0,50.00
Anderson Cummins,run out (Odoyo/Ouma),1,3,5,0,0,33.33
Henry Osinde,run out (Varaiya/Ouma),1,2,4,0,0,50.00
