BATSMEN,,R,B,M,4s,6s,SR
Bruce Patterson,b Wasim Akram,0,5,1,0,0,0.00
Ian Philip,lbw b Shoaib Akhtar,0,6,17,0,0,0.00
Mike Smith,b Shoaib Akhtar,3,3,11,0,0,100.00
Ian Stanger,b Wasim Akram,3,24,24,0,0,12.50
George Salmond,c Moin Khan b Shoaib Akhtar,5,7,11,0,0,71.43
Gavin Hamilton,b Wasim Akram,76,111,149,3,3,68.47
James Brinkley,c Moin Khan b Saqlain Mushtaq,22,43,72,3,0,51.16
Alec Davies,c sub (Wajahatullah Wasti) b Abdul Razzaq,19,28,41,1,0,67.86
John Blain,lbw b Abdul Razzaq,0,5,4,0,0,0.00
Asim Butt,c Moin Khan b Abdul Razzaq,1,5,4,0,0,20.00
Nick Dyer,not out,1,4,5,0,0,25.00
