BATSMEN,,R,B,M,4s,6s,SR
Desmond Haynes,c Fairbrother b DeFreitas,38,68,85,5,0,55.88
Brian Lara,c Stewart b Lewis,0,2,6,0,0,0.00
Sir Richie Richardson,c Botham b Lewis,5,17,27,1,0,29.41
Carl Hooper,c Reeve b Botham,5,20,26,0,0,25.00
Keith Arthurton,c Fairbrother b DeFreitas,54,101,130,2,2,53.47
Gus Logie,run out,20,27,42,0,1,74.07
Roger Harper,c Hick b Reeve,3,14,20,0,0,21.43
Malcolm Marshall,run out,3,8,13,0,0,37.50
David Williams,c Pringle b DeFreitas,6,19,19,0,0,31.58
Sir Curtly Ambrose,c DeFreitas b Lewis,4,6,23,0,0,66.67
Winston Benjamin,not out,11,15,14,1,0,73.33
