BATSMEN,,R,B,M,4s,6s,SR
Hiral Patel,c Johnson b Watson,54,45,58,5,3,120.00
John Davison,c Haddin b Lee,14,12,19,3,0,116.67
Zubin Surkari,b Tait,34,69,130,2,0,49.28
Ashish Bagai,c Haddin b Tait,39,55,74,6,0,70.91
Jimmy Hansra,c Lee b Krejza,3,4,8,0,0,75.00
Rizwan Cheema,b Lee,2,2,12,0,0,100.00
Nitish Kumar,c Tait b Johnson,7,18,26,0,0,38.89
Karl Whatham,b Lee,18,41,57,2,0,43.90
Harvir Baidwan,c Ponting b Krejza,17,14,17,3,0,121.43
Balaji Rao,b Lee,5,12,10,0,0,41.67
Henry Osinde,not out,2,3,6,0,0,66.67
