BATSMEN,,R,B,M,4s,6s,SR
Craig Wishart,c Otieno b MA Suji,5,7,11,0,0,71.43
Alistair Campbell,lbw b MA Suji,7,25,37,0,0,28.00
Andy Flower,b Odoyo,63,101,147,5,0,62.38
Grant Flower,c Otieno b MA Suji,7,15,29,1,0,46.67
Tatenda Taibu,c Otieno b Obuya,3,18,27,0,0,16.67
Dion Ebrahim,st Otieno b Obuya,13,24,22,1,0,54.17
Andy Blignaut,run out (Odumbe/Otieno),4,8,13,0,0,50.00
Heath Streak,c Shah b Obuya,0,4,5,0,0,0.00
Dougie Marillier,b Tikolo,21,39,54,2,0,53.85
Henry Olonga,c Odumbe b Tikolo,3,12,18,0,0,25.00
Douglas Hondo,not out,0,14,13,0,0,0.00
