BATSMEN,,R,B,M,4s,6s,SR
David Warner,c Morris b Pretorius,122,117,168,15,2,104.27
Aaron Finch,c Markram b Imran Tahir,3,4,9,0,0,75.00
Usman Khawaja,b Rabada,18,14,26,3,0,128.57
Steven Smith,lbw b Pretorius,7,6,9,1,0,116.67
Marcus Stoinis,run out (Rabada/de Kock),22,34,54,4,0,64.71
Glenn Maxwell,c de Kock b Rabada,12,20,24,1,0,60.00
Alex Carey,c Markram b Morris,85,69,90,11,1,123.19
Pat Cummins,c Duminy b Phehlukwayo,9,15,24,1,0,60.00
Mitchell Starc,b Rabada,16,11,24,1,1,145.45
Jason Behrendorff,not out,11,6,10,0,0,183.33
Nathan Lyon,c Markram b Phehlukwayo,3,3,7,0,0,100.00
