BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
James Anderson,7,0,18,1,2.57,32,1,0,2,0
Stuart Broad,8,1,18,1,2.25,36,0,0,2,0
Chris Jordan,6.2,2,13,2,2.05,32,2,0,1,0
Ravi Bopara,8,1,31,2,3.88,30,3,0,1,0
James Tredwell,7,0,25,1,3.57,27,1,1,0,0
