BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Sammy b Roach,0,3,2,0,0,0.00
Imrul Kayes,c Thomas b Sammy,5,8,15,0,0,62.50
Junaid Siddique,lbw b Roach,25,27,33,4,0,92.59
Mushfiqur Rahim,c Sarwan b Sammy,0,4,6,0,0,0.00
Shakib Al Hasan,b Benn,8,16,23,1,0,50.00
Raqibul Hasan,c Pollard b Sammy,4,17,23,0,0,23.53
Mohammad Ashraful,c Thomas b Roach,11,21,33,2,0,52.38
Naeem Islam,c Thomas b Benn,1,4,14,0,0,25.00
Shafiul Islam,c Pollard b Benn,0,6,12,0,0,0.00
Abdur Razzak,not out,2,6,9,0,0,33.33
Rubel Hossain,b Benn,0,2,2,0,0,0.00
