BATSMEN,,R,B,M,4s,6s,SR
Mohammad Hafeez,lbw b Southee,5,6,6,1,0,83.33
Ahmed Shehzad,lbw b Mills,10,16,29,1,0,62.50
Kamran Akmal,c Taylor b Southee,8,16,29,1,0,50.00
Younis Khan,b Mills,0,3,2,0,0,0.00
Misbah-ul-Haq,c Styris b Southee,7,31,36,0,0,22.58
Umar Akmal,c Oram b NL McCullum,38,58,95,3,0,65.52
Shahid Afridi,b Oram,17,9,13,2,1,188.89
Abdul Razzaq,c Oram b Styris,62,74,108,9,0,83.78
Abdur Rehman,lbw b NL McCullum,1,10,20,0,0,10.00
Umar Gul,not out,34,25,41,3,1,136.00
Shoaib Akhtar,c NL McCullum b Styris,0,2,2,0,0,0.00
