BATSMEN,,R,B,M,4s,6s,SR
Upul Tharanga,run out (Southee),3,7,13,0,0,42.86
Tillakaratne Dilshan,c Oram b Southee,3,15,22,0,0,20.00
Kumar Sangakkara,b NL McCullum,111,128,186,12,2,86.72
Mahela Jayawardene,lbw b Southee,66,90,149,6,0,73.33
Angelo Mathews,not out,41,35,67,4,0,117.14
Thilan Samaraweera,c BB McCullum b Styris,5,8,8,0,0,62.50
Chamara Silva,c & b NL McCullum,3,5,5,0,0,60.00
Nuwan Kulasekara,c Guptill b Southee,1,6,7,0,0,16.67
Lasith Malinga,c BB McCullum b Oram,6,4,4,0,1,150.00
Muttiah Muralitharan,run out (Oram/Guptill/NL McCullum),7,3,7,0,1,233.33
Ajantha Mendis,not out,0,2,2,0,0,0.00
