BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,lbw b Kulasekara,13,23,36,1,0,56.52
Brendon McCullum,c Jayawardene b Mathews,14,16,30,2,0,87.50
Jesse Ryder,c Sangakkara b Mendis,19,23,55,2,0,82.61
Ross Taylor,lbw b Muralitharan,33,55,72,3,1,60.00
Kane Williamson,st Sangakkara b Muralitharan,5,8,12,0,0,62.50
Scott Styris,c & b Muralitharan,6,10,21,0,0,60.00
James Franklin,c Dilshan b Muralitharan,20,29,44,2,0,68.97
Nathan McCullum,c Jayawardene b Dilshan,4,8,13,0,0,50.00
Jacob Oram,not out,20,27,38,2,0,74.07
Tim Southee,lbw b Mendis,8,8,9,1,0,100.00
Hamish Bennett,b Malinga,0,4,8,0,0,0.00
