BATSMEN,,R,B,M,4s,6s,SR
Andy Waller,c Tendulkar b Kumble,22,36,62,1,0,61.11
Grant Flower,c Azharuddin b Raju,30,42,58,1,0,71.43
Guy Whittall,run out,10,29,58,0,0,34.48
Alistair Campbell,c & b Jadeja,28,55,48,4,0,50.91
Andy Flower,b Raju,28,40,65,1,0,70.00
Craig Evans,c Srinath b Jadeja,6,5,5,1,0,120.00
Heath Streak,lbw b Raju,30,39,45,3,0,76.92
Paul Strang,b Srinath,14,21,25,1,0,66.67
Bryan Strang,lbw b Srinath,3,13,21,0,0,23.08
Stephen Peall,c Raju b Kumble,9,14,12,2,0,64.29
Charlie Lock,not out,2,4,8,0,0,50.00
