BATSMEN,,R,B,M,4s,6s,SR
John Davison,c & b Mason,52,31,44,9,1,167.74
Geoff Barnett,c McCullum b Vettori,40,72,93,5,0,55.56
Ashish Bagai,b Vettori,37,64,95,3,0,57.81
Ian Billcliff,b Styris,50,56,57,4,0,89.29
Abdool Samad,run out (Vincent),9,17,18,1,0,52.94
Ashif Mulla,lbw b Vettori,0,2,2,0,0,0.00
Sunil Dhaniram,retired hurt,17,19,21,1,1,89.47
Umar Bhatti,b Patel,10,28,35,1,0,35.71
Anderson Cummins,not out,9,8,20,1,0,112.50
Kevin Sandher,b Patel,2,6,5,0,0,33.33
Henry Osinde,b Patel,0,1,1,0,0,0.00
