BATSMEN,,R,B,M,4s,6s,SR
Sourav Ganguly,c Brandes b Johnson,9,8,7,2,0,112.50
Sadagoppan Ramesh,c Goodwin b GW Flower,55,77,134,3,1,71.43
Rahul Dravid,c GW Flower b Streak,13,14,23,2,0,92.86
Mohammad Azharuddin,c Campbell b Streak,7,11,8,1,0,63.64
Ajay Jadeja,lbw b Streak,43,76,108,3,0,56.58
Robin Singh,c Campbell b Olonga,35,47,75,1,0,74.47
Ajit Agarkar,run out (Goodwin),1,5,4,0,0,20.00
Nayan Mongia,b Whittall,28,24,32,2,1,116.67
Javagal Srinath,b Olonga,18,12,21,0,2,150.00
Anil Kumble,not out,1,1,3,0,0,100.00
Venkatesh Prasad,lbw b Olonga,0,1,1,0,0,0.00
