BATSMEN,,R,B,M,4s,6s,SR
Neil Johnson,c Mongia b Srinath,7,10,11,1,0,70.00
Grant Flower,c Mongia b Jadeja,45,89,148,4,0,50.56
Paul Strang,b Agarkar,18,26,32,1,0,69.23
Murray Goodwin,c Singh b Ganguly,17,40,51,3,0,42.50
Andy Flower,not out,68,85,120,2,0,80.00
Alistair Campbell,st Mongia b Kumble,24,29,38,3,0,82.76
Guy Whittall,b Kumble,4,8,7,0,0,50.00
Stuart Carlisle,b Srinath,1,2,2,0,0,50.00
Heath Streak,c Mongia b Prasad,14,18,14,2,0,77.78
Eddo Brandes,c Mongia b Prasad,2,5,6,0,0,40.00
Henry Olonga,not out,1,4,5,0,0,25.00
