BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Boyd Rankin,8,0,42,2,5.25,34,2,1,9,0
Dave Langford-Smith,10,1,27,2,2.70,43,2,0,3,0
Andre Botha,8,0,31,1,3.88,32,3,1,0,0
Trent Johnston,7.2,0,40,2,5.45,23,5,0,2,0
Kyle McCallan,8,1,25,2,3.13,32,3,0,0,0
