BATSMEN,,R,B,M,4s,6s,SR
Sanath Jayasuriya,lbw b Odoyo,39,50,68,5,1,78.00
Roshan Mahanama,b Odoyo,21,45,77,2,0,46.67
Marvan Atapattu,c Otieno b Angara,52,67,105,3,0,77.61
Aravinda de Silva,c Suji b Odoyo,10,19,14,2,0,52.63
Arjuna Ranatunga,run out (Angara),50,61,74,4,0,81.97
Upul Chandana,c Otieno b Kamande,0,1,1,0,0,0.00
Mahela Jayawardene,c Shah b Suji,45,33,43,7,0,136.36
Romesh Kaluwitharana,c Chudasama b Angara,3,5,5,0,0,60.00
Chaminda Vaas,not out,29,22,31,1,2,131.82
Pramodya Wickramasinghe,not out,0,0,1,0,0,0.00
