BATSMEN,,R,B,M,4s,6s,SR
Feiko Kloppenburg,c Sehwag b Srinath,0,4,2,0,0,0.00
Daan van Bunge,b Srinath,62,116,192,5,0,53.45
Henk-Jan Mol,c Dravid b Srinath,2,30,38,0,0,6.67
Bas Zuiderent,c Sehwag b Khan,0,6,7,0,0,0.00
Tim de Leede,c Dravid b Harbhajan Singh,0,9,17,0,0,0.00
Luuk van Troost,c Dravid b Kumble,1,10,10,0,0,10.00
Reinout Scholte,lbw b Kumble,1,5,5,0,0,20.00
Roland Lefebvre,lbw b Kumble,3,14,14,0,0,21.43
Edgar Schiferli,c Mongia b Kumble,13,21,28,2,0,61.90
Jeroen Smits,c Sehwag b Srinath,26,66,76,0,0,39.39
Adeel Raja,not out,0,10,12,0,0,0.00
