BATSMEN,,R,B,M,4s,6s,SR
Hashim Amla,c Vettori b NL McCullum,7,5,4,1,0,140.00
Graeme Smith,c sub (JM How) b Oram,28,34,59,2,0,82.35
Jacques Kallis,c Oram b Southee,47,75,96,3,0,62.67
AB de Villiers,run out (Guptill/BB McCullum),35,40,63,4,0,87.50
Jean-Paul Duminy,b NL McCullum,3,12,18,0,0,25.00
Faf du Plessis,c Southee b Oram,36,43,70,3,1,83.72
Johan Botha,b Oram,2,10,18,0,0,20.00
Robin Peterson,c BB McCullum b Oram,0,5,9,0,0,0.00
Dale Steyn,c Oram b NL McCullum,8,18,14,1,0,44.44
Morne Morkel,c sub (JM How) b Woodcock,3,17,30,0,0,17.65
Imran Tahir,not out,0,1,4,0,0,0.00
