BATSMEN,,R,B,M,4s,6s,SR
Javed Omar,c Gayle b Powell,16,49,77,1,0,32.65
Tamim Iqbal,run out (Bravo),7,20,27,1,0,35.00
Aftab Ahmed,c Ramdin b Collymore,6,8,10,0,0,75.00
Shakib Al Hasan,c Ramdin b Collymore,0,5,9,0,0,0.00
Mohammad Ashraful,c Samuels b Powell,2,8,18,0,0,25.00
Habibul Bashar,c Bravo b Powell,12,21,29,1,0,57.14
Mushfiqur Rahim,not out,38,75,112,2,0,50.67
Mashrafe Mortaza,b Bravo,37,51,58,4,0,72.55
Mohammad Rafique,lbw b Gayle,0,5,3,0,0,0.00
Abdur Razzak,c Lara b Bravo,1,10,9,0,0,10.00
Syed Rasel,b Gayle,2,13,18,0,0,15.38
