BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Dominic Cork,8,0,52,1,6.50,-,-,-,4,2
Phil DeFreitas,10,3,31,3,3.10,-,-,-,0,0
Neil Smith,8,0,27,0,3.38,-,-,-,0,0
Darren Gough,3,0,23,0,7.67,-,-,-,0,0
Peter Martin,10,1,42,2,4.20,-,-,-,1,0
Graeme Hick,5,0,23,0,4.60,-,-,-,0,0
Graham Thorpe,6,0,28,0,4.67,-,-,-,1,0
