BATSMEN,,R,B,M,4s,6s,SR
Hashim Amla,c Mohammed Shami b Sharma,22,28,50,2,0,78.57
Quinton de Kock,c Kohli b Mohammed Shami,7,15,15,1,0,46.67
Faf du Plessis,c Dhawan b Sharma,55,71,98,5,0,77.46
AB de Villiers,run out (Sharma/Dhoni),30,38,47,3,0,78.95
David Miller,run out (Yadav/Dhoni),22,23,45,2,0,95.65
Jean-Paul Duminy,c Raina b Ashwin,6,15,16,0,0,40.00
Wayne Parnell,not out,17,28,41,1,0,60.71
Vernon Philander,lbw b Ashwin,0,2,4,0,0,0.00
Dale Steyn,c Dhawan b Mohammed Shami,1,7,8,0,0,14.29
Morne Morkel,b Ashwin,2,5,3,0,0,40.00
Imran Tahir,lbw b Jadeja,8,10,11,1,0,80.00
