BATSMEN,,R,B,M,4s,6s,SR
Dwayne Smith,c Miller b Imran Tahir,31,34,51,4,1,91.18
Chris Gayle,b Abbott,3,4,6,0,0,75.00
Marlon Samuels,c de Kock b Abbott,0,9,9,0,0,0.00
Jonathan Carter,c de Villiers b Morkel,10,20,31,1,0,50.00
Denesh Ramdin,b Imran Tahir,22,47,61,2,0,46.81
Lendl Simmons,lbw b Imran Tahir,0,2,2,0,0,0.00
Daren Sammy,st de Kock b Imran Tahir,5,11,21,0,0,45.45
Andre Russell,c Abbott b Imran Tahir,0,3,2,0,0,0.00
Jason Holder,c Amla b Steyn,56,48,56,3,4,116.67
Jerome Taylor,not out,15,18,30,2,0,83.33
Sulieman Benn,c Amla b Morkel,1,3,2,0,0,33.33
