BATSMEN,,R,B,M,4s,6s,SR
Stefan Swanepoel,lbw b Khan,9,21,27,1,0,42.86
Jan-Berrie Burger,b Mongia,29,30,69,4,1,96.67
Louis Burger,lbw b Khan,0,12,9,0,0,0.00
Danie Keulder,c Mongia b Harbhajan Singh,4,19,26,0,0,21.05
Gavin Murgatroyd,lbw b Harbhajan Singh,0,6,11,0,0,0.00
Deon Kotze,c & b Mongia,27,50,53,1,1,54.00
Melt van Schoor,c Dravid b Yuvraj Singh,24,61,50,1,0,39.34
Burton van Rooi,c Mongia b Yuvraj Singh,17,31,29,2,0,54.84
Bjorn Kotze,c Dravid b Yuvraj Singh,3,18,28,0,0,16.67
Gerrie Snyman,c Srinath b Yuvraj Singh,5,6,10,1,0,83.33
Rudi van Vuuren,not out,0,4,6,0,0,0.00
