BATSMEN,,R,B,M,4s,6s,SR
Virender Sehwag,b du Plessis,73,66,87,12,0,110.61
Sachin Tendulkar,c Duminy b Morkel,111,101,184,8,3,109.90
Gautam Gambhir,c Kallis b Steyn,69,75,98,7,0,92.00
Yusuf Pathan,c Smith b Steyn,0,2,4,0,0,0.00
Yuvraj Singh,c Botha b Kallis,12,9,15,0,1,133.33
MS Dhoni,not out,12,21,37,0,0,57.14
Virat Kohli,c & b Peterson,1,3,2,0,0,33.33
Harbhajan Singh,b Steyn,3,9,8,0,0,33.33
Zaheer Khan,c Morkel b Peterson,0,3,3,0,0,0.00
Ashish Nehra,c Smith b Steyn,0,3,2,0,0,0.00
Munaf Patel,b Steyn,0,1,1,0,0,0.00
