BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Styris b Bond,11,22,32,0,0,50.00
Jeremy Bray,c McCullum b Bond,1,5,7,0,0,20.00
Eoin Morgan,c McCullum b Oram,15,37,46,2,0,40.54
Niall O'Brien,c Oram b Patel,30,75,109,2,0,40.00
Kevin O'Brien,run out (Styris/Marshall),49,45,67,2,3,108.89
Trent Johnston,lbw b Patel,13,19,27,1,0,68.42
Andrew White,lbw b Vettori,0,4,2,0,0,0.00
Peter Gillespie,lbw b Vettori,2,8,8,0,0,25.00
Kyle McCallan,b Vettori,0,8,9,0,0,0.00
Dave Langford-Smith,not out,0,4,6,0,0,0.00
Boyd Rankin,lbw b Vettori,0,1,2,0,0,0.00
