BATSMEN,,R,B,M,4s,6s,SR
Peter Fulton,lbw b McCallan,83,110,160,9,0,75.45
Stephen Fleming,c Porterfield b Rankin,10,11,26,1,0,90.91
Hamish Marshall,c Morgan b Langford-Smith,16,21,21,2,0,76.19
Scott Styris,c O'Brien b Langford-Smith,10,15,25,1,0,66.67
Craig McMillan,c Johnston b McCallan,22,29,29,1,1,75.86
Jacob Oram,c Morgan b White,20,48,78,0,0,41.67
Brendon McCullum,c Morgan b Johnston,47,37,49,2,1,127.03
Daniel Vettori,c O'Brien b White,5,7,6,0,0,71.43
James Franklin,not out,34,22,31,3,1,154.55
Shane Bond,not out,0,0,1,0,0,0.00
