BATSMEN,,R,B,M,4s,6s,SR
Saeed Anwar,c A Flower b Olonga,103,144,167,11,0,71.53
Wajahatullah Wasti,c Huckle b Whittall,40,42,86,5,1,95.24
Ijaz Ahmed,run out (Goodwin/A Flower),5,5,12,0,0,100.00
Inzamam-ul-Haq,st A Flower b Strang,21,36,52,0,0,58.33
Wasim Akram,lbw b Huckle,0,2,11,0,0,0.00
Moin Khan,run out (GW Flower),13,17,24,0,0,76.47
Shahid Afridi,c Johnson b Olonga,37,29,41,1,2,127.59
Azhar Mahmood,c A Flower b Streak,2,3,1,0,0,66.67
Abdul Razzaq,b Streak,0,1,1,0,0,0.00
Saqlain Mushtaq,not out,17,22,19,0,0,77.27
Shoaib Akhtar,not out,1,1,4,0,0,100.00
