BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,b Watson,10,25,45,2,0,40.00
Brendon McCullum,c Krejza b Tait,16,12,19,3,0,133.33
Jesse Ryder,c Haddin b Johnson,25,31,49,6,0,80.65
Ross Taylor,b Tait,7,22,45,1,0,31.82
James Franklin,c Haddin b Johnson,0,3,2,0,0,0.00
Scott Styris,c Haddin b Tait,0,4,4,0,0,0.00
Jamie How,lbw b Smith,22,47,60,1,0,46.81
Nathan McCullum,lbw b Johnson,52,76,94,3,0,68.42
Daniel Vettori,c Haddin b Lee,44,43,62,5,0,102.33
Tim Southee,c Ponting b Johnson,6,10,20,0,0,60.00
Hamish Bennett,not out,0,0,1,0,0,0.00
