BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Jerome Taylor,7,0,71,3,10.14,22,15,1,0,0
Jason Holder,8,0,76,0,9.50,21,4,6,1,0
Sulieman Benn,10,1,66,0,6.60,28,8,1,2,0
Andre Russell,10,0,96,2,9.60,23,7,6,2,1
Daren Sammy,8,0,38,0,4.75,23,2,1,1,0
Marlon Samuels,7,0,44,0,6.29,14,3,0,0,0
