BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mohammad Amir,6,0,26,3,4.33,22,3,0,1,0
Hasan Ali,4,0,39,0,9.75,11,4,2,1,0
Wahab Riaz,3.4,1,40,0,10.91,11,4,3,1,0
