BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Kyle Mills,8,1,43,2,5.38,30,6,1,0,0
Tim Southee,8,1,25,3,3.13,31,2,0,0,0
Jacob Oram,10,1,47,1,4.70,36,6,0,0,0
James Franklin,5,0,26,0,5.20,16,2,1,0,0
Nathan McCullum,6,0,28,2,4.67,19,2,0,1,0
Scott Styris,4.4,0,17,2,3.64,17,2,0,0,0
