BATSMEN,,R,B,M,4s,6s,SR
Mike Smith,c Jacobs b Simmons,1,23,18,0,0,4.35
Mike Allingham,c Jacobs b Ambrose,6,43,46,0,0,13.95
Ian Stanger,c Jacobs b Walsh,7,27,35,0,0,25.93
George Salmond,c Jacobs b Ambrose,1,4,10,0,0,25.00
Gavin Hamilton,not out,24,43,82,3,0,55.81
Greig Williamson,c Williams b Bryan,1,11,19,0,0,9.09
James Brinkley,c Simmons b Walsh,2,6,5,0,0,33.33
Alec Davies,lbw b Walsh,0,2,1,0,0,0.00
John Blain,lbw b Bryan,3,21,25,0,0,14.29
Asim Butt,c Williams b King,11,10,23,0,1,110.00
Nick Dyer,c Williams b King,0,2,1,0,0,0.00
