BATSMEN,,R,B,M,4s,6s,SR
Glenn Turner,c Wasim Bari b Rashid Khan,27,37,-,5,0,72.97
Bruce Edgar,c Imran Khan b Abdul Qadir,44,107,-,3,0,41.12
John Wright,c Wasim Bari b Abdul Qadir,9,14,-,2,0,64.29
Lance Cairns,b Abdul Qadir,4,6,-,1,0,66.67
Geoff Howarth,st Wasim Bari b Abdul Qadir,16,35,-,1,0,45.71
Jeremy Coney,c Ijaz Faqih b Shahid Mahboob,33,65,-,3,0,50.77
Martin Crowe,c Mohsin Khan b Rashid Khan,34,53,-,2,0,64.15
Sir Richard Hadlee,c Wasim Bari b Sarfraz Nawaz,13,11,-,1,0,118.18
John Bracewell,lbw b Rashid Khan,3,6,-,0,0,50.00
Warren Lees,not out,24,21,-,2,0,114.29
Ewen Chatfield,not out,6,8,-,0,0,75.00
