BATSMEN,,R,B,M,4s,6s,SR
Mohsin Khan,lbw b Hadlee,0,3,-,0,0,0.00
Mudassar Nazar,c Lees b Cairns,0,2,-,0,0,0.00
Zaheer Abbas,b Hadlee,0,3,-,0,0,0.00
Javed Miandad,lbw b Chatfield,35,61,-,3,0,57.38
Imran Khan,c Chatfield b Hadlee,9,26,-,1,0,34.62
Ijaz Faqih,c Edgar b Coney,12,37,-,1,0,32.43
Shahid Mahboob,c Wright b Coney,17,31,-,2,0,54.84
Wasim Bari,c Edgar b Coney,34,71,-,2,0,47.89
Abdul Qadir,not out,41,68,-,2,1,60.29
Sarfraz Nawaz,c Crowe b Chatfield,13,14,-,2,0,92.86
Rashid Khan,c & b Cairns,9,21,-,0,0,42.86
