BATSMEN,,R,B,M,4s,6s,SR
Eric Szwarczynski,b Chawla,28,42,59,4,0,66.67
Wesley Barresi,lbw b Yuvraj Singh,26,58,67,2,0,44.83
Tom Cooper,c Dhoni b Nehra,29,47,52,2,0,61.70
Ryan ten Doeschate,c Khan b Yuvraj Singh,11,28,29,1,0,39.29
Alexei Kervezee,c Harbhajan Singh b Chawla,11,23,45,1,0,47.83
Bas Zuiderent,lbw b Khan,0,6,10,0,0,0.00
Tom de Grooth,run out (Chawla/Dhoni),5,11,14,0,0,45.45
Peter Borren,c Nehra b Khan,38,36,46,3,2,105.56
Bradley Kruger,run out (Kohli/Dhoni),8,12,16,1,0,66.67
Mudassar Bukhari,b Khan,21,18,20,1,2,116.67
Pieter Seelaar,not out,0,0,2,0,0,0.00
