BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,b Malinga,0,2,1,0,0,0.00
Anamul Haque,run out (Mathews),29,43,66,1,1,67.44
Soumya Sarkar,c Sangakkara b Mathews,25,15,24,5,0,166.67
Mominul Haque,c Jayawardene b Lakmal,1,3,5,0,0,33.33
Mahmudullah,c Herath b Perera,28,46,54,3,0,60.87
Shakib Al Hasan,c Malinga b Dilshan,46,59,57,4,1,77.97
Mushfiqur Rahim,b Lakmal,36,39,75,2,1,92.31
Sabbir Rahman,c Sangakkara b Malinga,53,62,63,7,0,85.48
Mashrafe Mortaza,st Sangakkara b Dilshan,7,7,14,1,0,100.00
Rubel Hossain,not out,0,5,13,0,0,0.00
Taskin Ahmed,lbw b Malinga,0,1,1,0,0,0.00
