BATSMEN,,R,B,M,4s,6s,SR
Robin Brown,c JJ Crowe b Chatfield,1,10,10,0,0,10.00
Ali Shah,lbw b Snedden,5,13,11,0,0,38.46
Dave Houghton,c MD Crowe b Snedden,142,137,178,13,6,103.65
Andy Pycroft,run out,12,22,37,2,0,54.55
Kevin Curran,c Boock b Watson,4,8,6,0,0,50.00
Andy Waller,c Smith b Watson,5,14,17,0,0,35.71
Grant Paterson,c Smith b Boock,2,11,10,0,0,18.18
Peter Rawson,lbw b Boock,1,10,10,0,0,10.00
Iain Butchart,run out,54,70,98,2,1,77.14
Eddo Brandes,run out,0,0,1,0,0,0.00
John Traicos,not out,4,6,13,0,0,66.67
