BATSMEN,,R,B,M,4s,6s,SR
Ajay Jadeja,c Benjamin b Simmons,27,61,64,2,0,44.26
Kris Srikkanth,c Logie b Hooper,40,70,101,2,0,57.14
Mohammad Azharuddin,c Ambrose b Cummins,61,84,89,4,0,72.62
Sachin Tendulkar,c Williams b Ambrose,4,11,11,0,0,36.36
Sanjay Manjrekar,run out,27,40,53,0,0,67.50
Kapil Dev,c Haynes b Cummins,3,4,9,0,0,75.00
Pravin Amre,c Hooper b Ambrose,4,8,14,0,0,50.00
Kiran More,c Hooper b Cummins,5,5,5,1,0,100.00
Manoj Prabhakar,c Richardson b Cummins,8,10,10,1,0,80.00
Javagal Srinath,not out,5,5,7,0,0,100.00
Venkatapathy Raju,run out,1,1,2,0,0,100.00
