BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Imran Khan,10,2,42,2,4.20,-,-,-,0,0
Wasim Akram,9.2,1,41,2,4.39,-,-,-,0,0
Mudassar Nazar,9,0,63,0,7.00,-,-,-,0,0
Abdul Qadir,10,1,30,2,3.00,-,-,-,0,0
Tauseef Ahmed,10,0,48,1,4.80,-,-,-,0,0
Mansoor Akhtar,1,0,7,1,7.00,-,-,-,0,0
