BATSMEN,,R,B,M,4s,6s,SR
Glenn Turner,c Dias b de Mel,6,10,-,1,0,60.00
John Wright,c de Alwis b de Mel,0,7,-,0,0,0.00
Geoff Howarth,b Ratnayake,15,23,-,2,0,65.22
Martin Crowe,lbw b Ratnayake,8,32,-,0,0,25.00
Bruce Edgar,c Samarasekera b de Silva,27,77,-,3,0,35.06
Jeremy Coney,c ? b de Silva,22,50,-,2,0,44.00
Sir Richard Hadlee,c Madugalle b de Mel,15,39,-,3,0,38.46
Warren Lees,c Ranatunga b de Mel,2,16,-,0,0,12.50
Lance Cairns,c Dias b de Mel,6,7,-,1,0,85.71
Martin Snedden,run out,40,55,-,5,0,72.73
Ewen Chatfield,not out,19,48,-,2,0,39.58
