BATSMEN,,R,B,M,4s,6s,SR
Chamu Chibhabha,c Haris Sohail b Mohammad Irfan,9,18,19,2,0,50.00
Sikandar Raza,c Haris Sohail b Mohammad Irfan,8,15,29,0,0,53.33
Hamilton Masakadza,c Misbah-ul-Haq b Mohammad Irfan,29,54,71,4,0,53.70
Brendan Taylor,c Umar Akmal b Wahab Riaz,50,72,95,6,0,69.44
Sean Williams,c Ahmed Shehzad b Rahat Ali,33,32,53,2,0,103.13
Craig Ervine,c Umar Akmal b Wahab Riaz,14,29,45,1,0,48.28
Solomon Mire,c Umar Akmal b Mohammad Irfan,8,14,14,0,0,57.14
Elton Chigumbura,c Umar Akmal b Wahab Riaz,35,35,60,4,0,100.00
Tawanda Mupariwa,c Umar Akmal b Wahab Riaz,0,2,2,0,0,0.00
Tinashe Panyangara,run out (Umar Akmal/Wahab Riaz),10,28,43,0,0,35.71
Tendai Chatara,not out,0,0,1,0,0,0.00
