BATSMEN,,R,B,M,4s,6s,SR
Chris Gayle,c Jadhav b Mohammed Shami,6,19,22,1,0,31.58
Sunil Ambris,lbw b Pandya,31,40,84,2,0,77.50
Shai Hope,b Mohammed Shami,5,10,12,1,0,50.00
Nicholas Pooran,c Mohammed Shami b Kuldeep Yadav,28,50,61,2,0,56.00
Shimron Hetmyer,c Rahul b Mohammed Shami,18,29,52,1,0,62.07
Jason Holder,c Jadhav b Chahal,6,13,14,0,0,46.15
Carlos Brathwaite,c Dhoni b Bumrah,1,5,13,0,0,20.00
Fabian Allen,lbw b Bumrah,0,1,3,0,0,0.00
Kemar Roach,not out,14,21,38,3,0,66.67
Sheldon Cottrell,lbw b Chahal,10,8,7,1,1,125.00
Oshane Thomas,c Sharma b Mohammed Shami,6,11,20,1,0,54.55
