BATSMEN,,R,B,M,4s,6s,SR
Stephen Fleming,c Sangakkara b Gunaratne,1,4,9,0,0,25.00
Nathan Astle,run out (Vaas),0,5,4,0,0,0.00
Craig McMillan,c Sangakkara b Gunaratne,3,12,20,0,0,25.00
Scott Styris,c Vaas b Arnold,141,125,177,3,6,112.80
Chris Cairns,c & b de Silva,32,56,71,2,0,57.14
Lou Vincent,c Muralitharan b Jayasuriya,1,4,3,0,0,25.00
Chris Harris,b Muralitharan,13,35,40,0,0,37.14
Jacob Oram,st Sangakkara b Muralitharan,12,20,20,0,0,60.00
Andre Adams,c sub (J Mubarak) b Arnold,1,4,5,0,0,25.00
Daryl Tuffey,c Sangakkara b Arnold,4,3,6,0,0,133.33
Shane Bond,not out,2,5,8,0,0,40.00
