BATSMEN,,R,B,M,4s,6s,SR
Upul Tharanga,c Hayden b Bracken,6,22,33,0,0,27.27
Sanath Jayasuriya,lbw b Bracken,12,12,21,2,0,100.00
Kumar Sangakkara,lbw b McGrath,0,4,6,0,0,0.00
Mahela Jayawardene,st Gilchrist b Hogg,72,88,133,5,1,81.82
Chamara Silva,c Clarke b Hogg,64,107,119,6,0,59.81
Tillakaratne Dilshan,c Hodge b Tait,7,12,13,0,0,58.33
Russel Arnold,b Tait,3,10,15,0,0,30.00
Farveez Maharoof,c Symonds b Bracken,25,22,40,4,0,113.64
Nuwan Kulasekara,c Hayden b Bracken,1,5,5,0,0,20.00
Malinga Bandara,c Hogg b McGrath,17,19,23,0,2,89.47
Dilhara Fernando,not out,0,0,4,0,0,0.00
